股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1476,儒鴻,423.0,66.87,71.73,59.88,6.31,4.99,1.31,438.54,415.15,391.76,15326,4115,3.72,1160.57,20.57,17.0,4.02,2026-02-28 15:32:09
1477,聚陽,320.0,63.92,57.48,58.33,2.15,2.08,0.07,326.96,316.3,305.64,1086,1358,0.8,789.42,21.36,16.1,5.03,2026-02-28 15:32:10
1503,士電,236.0,70.78,54.33,44.57,7.73,7.96,-0.23,246.54,222.47,198.41,10944,6861,1.6,1229.49,37.46,4.5,1.91,2026-02-28 15:32:12
1504,東元,82.9,63.59,48.94,38.24,-1.14,-1.31,0.17,89.8,83.15,76.5,24050,15327,1.57,1943.7,32.64,2.2,2.65,2026-02-28 15:32:13
1506,正道,11.65,34.37,31.57,16.67,-0.12,-0.05,-0.07,12.93,12.11,11.28,328,275,1.19,35.0,145.62,,,2026-02-28 15:32:14
1512,瑞利,7.75,31.41,37.28,30.71,-0.0,0.05,-0.05,8.61,8.08,7.55,125,130,0.96,7.61,,,,2026-02-28 15:32:15
1513,中興電,175.5,69.69,53.07,41.38,2.4,2.72,-0.32,187.9,171.65,155.4,15839,8919,1.78,867.1,22.79,4.6,2.62,2026-02-28 15:32:16
1514,亞力,128.0,64.53,50.94,38.2,3.25,4.03,-0.78,144.19,128.6,113.01,16829,9453,1.78,346.71,43.84,1.7,1.33,2026-02-28 15:32:18
1515,力山,26.45,64.72,55.07,41.05,-0.29,-0.32,0.03,28.56,26.91,25.26,384,280,1.37,48.0,8.53,1.0,3.78,2026-02-28 15:32:19
1516,川飛,22.05,29.37,24.9,42.72,-0.1,-0.03,-0.07,22.88,21.81,20.74,66,43,1.55,8.82,,,,2026-02-28 15:32:20
1517,利奇,12.45,60.82,46.91,50.0,0.09,0.1,-0.02,12.97,12.18,11.4,1083,416,2.6,27.39,1.89,0.2,1.61,2026-02-28 15:32:22
1519,華城,1070.0,67.92,53.2,53.66,35.08,34.38,0.69,1087.52,993.0,898.48,10398,5637,1.84,3379.92,78.73,9.0,0.84,2026-02-28 15:32:23
1521,大億,27.1,54.46,50.65,46.08,0.35,0.44,-0.09,29.09,27.26,25.43,48,37,1.27,20.66,43.02,1.0,3.69,2026-02-28 15:32:24
1522,堤維西,44.0,8.14,10.96,23.66,-1.19,-0.5,-0.69,54.08,48.2,42.33,1133,1884,0.6,137.26,45.83,3.0,6.82,2026-02-28 15:32:26
1524,耿鼎,30.9,9.2,9.93,13.79,-0.17,0.26,-0.43,36.29,32.88,29.47,681,874,0.78,51.08,12.17,2.3,7.44,2026-02-28 15:32:27
