股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
2302,麗正,18.65,,,,,,,,,,,,,,2026-02-25
2303,聯電,65.5,,,,,,,,,,,,,,2026-02-25
2305,全友,13.3,,,,,,,,,,,,,,2026-02-25
2308,台達電,1435.0,,,,,,,,,,,,,,2026-02-25
2312,金寶,25.25,,,,,,,,,,,,,,2026-02-25
2313,華通,209.5,,,,,,,,,,,,,,2026-02-25
2314,台揚,20.8,,,,,,,,,,,,,,2026-02-25
2316,楠梓電,102.5,,,,,,,,,,,,,,2026-02-25
2317,鴻海,246.5,,,,,,,,,,,,,,2026-02-25
2321,東訊,15.6,,,,,,,,,,,,,,2026-02-25
2323,中環,11.1,,,,,,,,,,,,,,2026-02-25
2324,仁寶,30.1,,,,,,,,,,,,,,2026-02-25
2327,國巨*,300.0,,,,,,,,,,,,,,2026-02-25
2328,廣宇,51.6,,,,,,,,,,,,,,2026-02-25
2329,華泰,55.6,,,,,,,,,,,,,,2026-02-25
2330,台積電,2015.0,,,,,,,,,,,,,,2026-02-25
2331,精英,27.6,,,,,,,,,,,,,,2026-02-25
2332,友訊,15.75,,,,,,,,,,,,,,2026-02-25
2337,旺宏,108.0,,,,,,,,,,,,,,2026-02-25
2338,光罩,44.75,,,,,,,,,,,,,,2026-02-25
2340,台亞,26.8,,,,,,,,,,,,,,2026-02-25
2342,茂矽,31.65,,,,,,,,,,,,,,2026-02-25
2344,華邦電,118.0,,,,,,,,,,,,,,2026-02-25
2345,智邦,1450.0,,,,,,,,,,,,,,2026-02-25
2347,聯強,70.8,,,,,,,,,,,,,,2026-02-25
2348,海悅,73.5,,,,,,,,,,,,,,2026-02-25
2349,錸德,15.3,,,,,,,,,,,,,,2026-02-25
2351,順德,87.5,,,,,,,,,,,,,,2026-02-25
2352,佳世達,26.25,,,,,,,,,,,,,,2026-02-25
2353,宏碁,27.35,,,,,,,,,,,,,,2026-02-25
2354,鴻準,60.0,,,,,,,,,,,,,,2026-02-25
2355,敬鵬,41.05,,,,,,,,,,,,,,2026-02-25
2356,英業達,46.4,,,,,,,,,,,,,,2026-02-25
2357,華碩,525.0,,,,,,,,,,,,,,2026-02-25
2359,所羅門,130.5,,,,,,,,,,,,,,2026-02-25
2360,致茂,1255.0,,,,,,,,,,,,,,2026-02-25
2362,藍天,40.05,,,,,,,,,,,,,,2026-02-25
2363,矽統,54.6,,,,,,,,,,,,,,2026-02-25
2364,倫飛,63.1,,,,,,,,,,,,,,2026-02-25
2365,昆盈,37.0,,,,,,,,,,,,,,2026-02-25
2367,燿華,58.7,,,,,,,,,,,,,,2026-02-25
2368,金像電,845.0,,,,,,,,,,,,,,2026-02-25
2369,菱生,27.45,,,,,,,,,,,,,,2026-02-25
2371,大同,37.0,,,,,,,,,,,,,,2026-02-25
2373,震旦行,56.6,,,,,,,,,,,,,,2026-02-25
2374,佳能,80.4,,,,,,,,,,,,,,2026-02-25
2375,凱美,95.7,,,,,,,,,,,,,,2026-02-25
2376,技嘉,235.0,,,,,,,,,,,,,,2026-02-25
2377,微星,92.2,,,,,,,,,,,,,,2026-02-25
2379,瑞昱,474.5,,,,,,,,,,,,,,2026-02-25
2380,虹光,4.85,,,,,,,,,,,,,,2026-02-25
2382,廣達,297.5,,,,,,,,,,,,,,2026-02-25
2383,台光電,2420.0,,,,,,,,,,,,,,2026-02-25
