股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1460,宏遠,6.64,65.65,75.37,K<D,60.85,0.1,0.11,-0.01,DIF<MACD,6.75,6.52,6.28,58.22,372,608,0.42,44.18,10.08,,,2026-02-03 23:25:19,
1463,強盛新,17.95,79.39,60.54,K>D,64.63,-0.24,-0.34,0.1,DIF>MACD,17.84,17.46,17.08,97.2,43,49,1.34,30.54,4.7,2.1,11.8,2026-02-03 23:25:20,
1464,得力,11.36,15.02,18.52,K<D,31.51,0.01,0.08,-0.07,DIF<MACD,12.02,11.47,10.92,10.91,275,406,0.59,47.05,28.46,0.5,4.5,2026-02-03 23:25:21,
1465,偉全,12.33,29.11,42.38,K<D,29.0,-0.06,-0.06,-0.01,DIF<MACD,12.62,12.5,12.37,0.0,24,41,0.53,12.8,,0.6,4.86,2026-02-03 23:25:23,
1466,聚隆,14.41,63.07,54.04,黃金交叉,61.55,0.12,0.07,0.05,DIF>MACD,14.92,14.38,13.85,85.53,173,247,0.78,16.4,,,,2026-02-03 23:25:24,
1467,南緯,7.54,17.67,23.33,K<D,27.46,0.05,0.13,-0.08,DIF<MACD,8.25,7.83,7.4,0.0,139,237,1.07,17.38,,,,2026-02-03 23:25:25,
1468,昶和,13.05,60.4,69.95,K<D,68.42,0.32,0.28,0.04,DIF>MACD,13.6,12.39,11.18,60.19,37,43,0.6,20.61,128.5,,,2026-02-03 23:25:26,
1471,首利,12.9,56.54,65.02,K<D,71.2,1.0,0.88,0.11,DIF>MACD,14.48,11.17,7.86,77.39,1151,3565,0.5,19.33,,,,2026-02-03 23:25:27,
1472,三洋實業,89.02,30.34,32.48,K<D,34.86,-0.53,-0.48,-0.04,DIF<MACD,90.14,88.18,86.22,40.47,3,18,0.38,45.98,13.84,3.0,3.42,2026-02-03 23:25:28,
1473,台南,25.09,37.14,56.2,K<D,60.68,0.33,0.35,-0.03,DIF<MACD,27.62,25.18,22.74,48.87,148,206,0.83,36.68,20.24,2.0,7.97,2026-02-03 23:25:29,
1474,弘裕,10.31,35.04,44.17,K<D,47.91,-0.12,-0.15,0.02,DIF>MACD,10.58,10.36,10.13,32.14,137,108,0.86,13.38,31.21,0.4,3.88,2026-02-03 23:25:31,
1475,業旺,30.72,10.76,16.47,K<D,32.39,-0.1,-0.05,-0.06,DIF<MACD,33.61,32.14,30.68,9.23,74,33,2.38,20.37,8.99,3.6,11.67,2026-02-03 23:25:32,
1476,儒鴻,394.92,31.45,35.16,K<D,52.67,0.72,2.0,-1.28,DIF<MACD,425.81,407.9,389.99,37.7,602,479,0.82,1115.3,19.78,17.0,4.18,2026-02-03 23:25:33,
1477,聚陽,307.59,25.6,25.58,黃金交叉,41.83,2.24,4.06,-1.83,DIF<MACD,335.85,317.18,298.5,43.04,748,937,0.9,777.09,21.01,16.1,5.11,2026-02-03 23:25:34,
1503,士電,210.41,37.29,59.82,K<D,62.98,13.51,13.81,-0.3,DIF<MACD,256.78,208.47,160.17,51.57,4958,10157,0.73,1127.9,34.42,4.5,2.08,2026-02-03 23:25:36,
1504,東元,82.37,11.84,23.74,K<D,37.42,-1.17,-0.59,-0.59,DIF<MACD,91.9,85.38,78.86,15.49,12915,20376,0.34,1915.57,32.17,2.2,2.69,2026-02-03 23:25:37,
1506,正道,11.67,24.09,39.74,K<D,48.8,0.11,0.19,-0.09,DIF<MACD,13.4,12.32,11.24,19.85,214,295,1.07,35.45,147.5,,,2026-02-03 23:25:38,
1512,瑞利,8.0,15.5,25.49,K<D,57.08,0.13,0.17,-0.04,DIF<MACD,9.11,7.97,6.83,49.13,93,105,0.42,7.85,,,,2026-02-03 23:25:39,
