股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1519,華城,881.0,26.83,38.54,45.09,-12.49,-5.72,-6.77,1048.04,940.1,832.16,2436,2468,0.99,2782.91,63.06,9.0,1.02,2026-03-24,2026-03-24 07:32:21
1521,大億,24.95,41.51,40.3,37.14,-0.33,-0.29,-0.05,27.07,25.6,24.12,10,17,0.58,19.02,28.68,1.0,4.01,2026-03-24,2026-03-24 07:32:23
1522,堤維西,32.2,2.96,6.15,18.48,-3.59,-2.99,-0.6,47.49,38.92,30.36,1024,1133,0.9,100.45,18.72,3.0,9.32,2026-03-24,2026-03-24 07:32:24
1524,耿鼎,28.2,16.67,25.33,50.0,-0.72,-0.68,-0.05,30.92,29.28,27.63,412,551,0.75,46.62,14.46,1.4,4.96,2026-03-24,2026-03-24 07:32:24
1525,江申,60.7,18.46,23.81,34.78,-0.57,-0.46,-0.11,64.17,62.15,60.14,28,22,1.25,44.55,18.91,2.8,4.61,2026-03-24,2026-03-24 07:32:25
1526,日馳,17.1,23.48,26.47,29.76,-0.57,-0.48,-0.09,20.3,18.43,16.56,150,179,0.84,10.26,,,,2026-03-24,2026-03-24 07:32:26
1527,鑽全,32.15,30.18,30.78,42.5,-0.48,-0.45,-0.03,34.15,32.88,31.61,484,507,0.95,44.55,23.47,2.2,6.84,2026-03-24,2026-03-24 07:32:26
1528,恩德,21.2,35.05,48.87,45.75,-0.56,-0.56,-0.0,24.54,22.62,20.7,3701,5388,0.69,40.56,,0.1,0.47,2026-03-24,2026-03-24 07:32:28
1529,樂事綠能,25.2,25.75,44.76,55.75,0.71,1.04,-0.33,29.64,26.64,23.64,1320,2328,0.57,39.08,24.95,0.2,0.79,2026-03-24,2026-03-24 07:32:29
1530,亞崴,26.3,18.75,17.61,34.07,-0.63,-0.54,-0.09,29.45,27.28,25.1,11,30,0.37,24.88,43.83,1.53,5.82,2026-03-24,2026-03-24 07:32:30
